Model,Param1 Name,Param1,N Features,N Training set,K,njobs,Runtime,Notes,Accuracy
SVC,C,1.00E-10,21,6850,3,1,00:07.8,Confounds,0.104495038
SVC,C,1.00E-10,21,6850,3,2,00:07.4,Confounds,0.104495038
SVC,C,1.00E-10,21,6850,3,3,00:06.3,Confounds,0.104495038
SVC,C,1.00E-10,21,6850,3,1,00:07.8,Confounds,0.11558669
SVC,C,1.00E-10,21,6850,3,2,00:07.4,Confounds,0.11558669
SVC,C,1.00E-10,21,6850,3,3,00:06.3,Confounds,0.11558669
SVC,C,1.00E-10,21,6850,3,3,00:04.8,Confounds,0.11558669
SVC,C,2.15E-07,21,6850,3,3,05:10.2,Confounds,0.113835377
SVC,C,2.15E-07,21,500,3,1,00:19.1,Confounds,0.144191477
SVC,C,2.15E-07,21,500,3,2,00:15.0,Confounds,0.144191477
SVC,C,2.15E-07,21,500,3,3,00:14.8,Confounds,0.144191477
SVC,C,2.15E-07,21,1000,3,1,00:58.5,Confounds,0.115002919
SVC,C,2.15E-07,21,1000,3,2,00:44.2,Confounds,0.115002919
SVC,C,2.15E-07,21,1000,3,3,00:38.0,Confounds,0.115002919
SVC,C,2.15E-07,21,2000,3,1,01:18.6,Confounds,0.119673088
SVC,C,2.15E-07,21,2000,3,2,01:01.6,Confounds,0.119673088
SVC,C,2.15E-07,21,2000,3,3,00:54.7,Confounds,0.119673088
